0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:08 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:12 +0530] "GET /DigiMart/home.jsp HTTP/1.1" 200 578571
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:12 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:14 +0530] "GET /DigiMart/about.jsp HTTP/1.1" 200 7925
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:14 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:19 +0530] "GET /DigiMart/messageUs.jsp HTTP/1.1" 200 6379
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:19 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:19 +0530] "GET /DigiMart/css/messageUs.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:23 +0530] "GET /DigiMart/about.jsp HTTP/1.1" 200 7925
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:23 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:46 +0530] "GET /DigiMart/home.jsp HTTP/1.1" 200 578571
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:46 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:52 +0530] "POST /DigiMart/searchHome.jsp HTTP/1.1" 200 250159
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:52 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:52 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
